cep,address_type,address_name,address,state,district,lat,lng,city,city_ibge,ddd
86720000,,,,PR,,-23.32667,-51.55944,Sabáudia,4122701,44
87013250,Rua,Arthur Thomas,Rua Arthur Thomas,PR,Zona 01,-23.4247276,-51.9374143,Maringá,4115200,44
87053376,Rua,Antônio José Beraldo,Rua Antônio José Beraldo,PR,Jardim Catedral,-23.4590454,-51.9149961,Maringá,4115200,44
88230000,,,,SC,,-27.26555,-48.76789,Canelinha,4203709,48
88306830,Avenida,Carlos Drumond de Andrade,Avenida Carlos Drumond de Andrade,SC,Praia Brava de Itajaí,-26.9559931,-48.6350351,Itajaí,4208203,47
88319899,Área,Rural,Área Rural,SC,Área Rural de Itajaí,-26.6547957,-49.8529372,Itajaí,4208203,47
88330376,Rua,2700,Rua 2700,SC,Centro,-26.9980455,-48.6311006,Balneário Camboriú,4202008,47
88360000,,,,SC,,-27.08477,-48.98737,Guabiruba,4206306,47
88914000,,,,SC,,-28.98763,-49.41856,Balneário Arroio do Silva,4201950,48
89012200,Rua,Carlos Rischbieter,Rua Carlos Rischbieter,SC,Victor Konder,-26.9020141,-49.0670004,Blumenau,4202404,47
89026280,Rua,Jornalista Israel Corrêa,Rua Jornalista Israel Corrêa,SC,Progresso,-26.9733018,-49.0777539,Blumenau,4202404,47
89041400,Rua,Benedito Novo,Rua Benedito Novo,SC,Água Verde,-26.9132839,-49.1169471,Blumenau,4202404,47
89050130,Rua,México,Rua México,SC,Ponta Aguda,-26.9120522,-49.059857,Blumenau,4202404,47
89120000,,,,SC,,-26.82461,-49.27102,Timbó,4218202,47
89214360,Rua,Vitória-Régia,Rua Vitória-Régia,SC,São Marcos,-26.3107025,-48.8794583,Joinville,4209102,47
89225860,Rua,Rio do Ferro,Rua Rio do Ferro,SC,Aventureiro,-26.234331,-48.8011321,Joinville,4209102,47
89259000,Rua,Vinte e Cinco de Julho,Rua Vinte e Cinco de Julho,SC,Vila Nova,-26.4962622,-49.0791732,Jaraguá do Sul,4208906,47
89610000,,,,SC,,-27.17508,-51.49584,Herval DOeste,4206702,49
89840000,,,,SC,,-26.91301,-52.70359,Coronel Freitas,4204400,49
91030300,Rua,Morretes,Rua Morretes,RS,Santa Maria Goretti,-30.0059374,-51.1776889,Porto Alegre,4314902,51
91060420,Rua,Walt Disney,Rua Walt Disney,RS,São Sebastião,-30.0050123,-51.1433522,Porto Alegre,4314902,51
95096000,Avenida,Rio Branco,Avenida Rio Branco,RS,Rio Branco,-29.1791936,-51.1978461,Caxias do Sul,4305108,54
95590000,,,,RS,,-30.00849,-50.15164,Tramandaí,4321600,51
95702050,Rua,Ernesto Casagrande,Rua Ernesto Casagrande,RS,Imigrante,-29.1737715,-51.5041593,Bento Gonçalves,4302105,54
95905216,Rua,dos Jacarandás,Rua dos Jacarandás,RS,Montanha,-29.4499643,-51.9856801,Lajeado,4311403,51
98905000,,,,RS,,-27.83436,-54.05505,Alegria,4300455,55
99500000,,,,RS,,-28.27618,-52.77354,Carazinho,4304705,54
